Année,Quadrimestre,Student Loan,Other,Credit Card,Auto Loan
2004,Q1,0.26,0.45,0.69,0.72
2004,Q2,0.26,0.42,0.7,0.74
2004,Q3,0.33,0.41,0.71,0.75
2004,Q4,0.35,0.42,0.72,0.73
2005,Q1,0.36,0.39,0.71,0.72
2005,Q2,0.37,0.4,0.72,0.77
2005,Q3,0.38,0.41,0.73,0.83
2005,Q4,0.39,0.42,0.74,0.79
2006,Q1,0.43,0.42,0.72,0.79
2006,Q2,0.44,0.42,0.74,0.8
2006,Q3,0.45,0.44,0.75,0.82
2006,Q4,0.48,0.41,0.77,0.82
2007,Q1,0.51,0.4,0.76,0.79
2007,Q2,0.51,0.41,0.8,0.81
2007,Q3,0.53,0.41,0.82,0.82
2007,Q4,0.55,0.42,0.84,0.81
2008,Q1,0.58,0.42,0.84,0.81
2008,Q2,0.59,0.4,0.85,0.81
2008,Q3,0.61,0.41,0.86,0.81
2008,Q4,0.64,0.41,0.87,0.79
2009,Q1,0.66,0.41,0.84,0.77
2009,Q2,0.68,0.39,0.82,0.74
2009,Q3,0.69,0.38,0.81,0.74
2009,Q4,0.72,0.38,0.8,0.72
2010,Q1,0.76,0.36,0.76,0.7
2010,Q2,0.76,0.35,0.74,0.7
2010,Q3,0.78,0.34,0.73,0.71
2010,Q4,0.81,0.34,0.73,0.71
2011,Q1,0.84,0.33,0.7,0.71
2011,Q2,0.85,0.33,0.69,0.71
2011,Q3,0.87,0.33,0.69,0.73
2011,Q4,0.87,0.33,0.7,0.73
2012,Q1,0.9,0.32,0.68,0.74
2012,Q2,0.91,0.31,0.67,0.75
2012,Q3,0.96,0.31,0.67,0.77
2012,Q4,0.97,0.32,0.68,0.78
2013,Q1,0.99,0.31,0.66,0.79
2013,Q2,0.99,0.3,0.67,0.81
2013,Q3,1.03,0.3,0.67,0.84
2013,Q4,1.08,0.32,0.68,0.86
2014,Q1,1.11,0.31,0.66,0.88
2014,Q2,1.12,0.32,0.67,0.91
2014,Q3,1.13,0.33,0.68,0.93
2014,Q4,1.16,0.34,0.7,0.95
2015,Q1,1.19,0.33,0.68,0.97
2015,Q2,1.19,0.34,0.7,1.01
2015,Q3,1.2,0.35,0.71,1.04
2015,Q4,1.23,0.35,0.73,1.06
2016,Q1,1.26,0.35,0.71,1.07
2016,Q2,1.26,0.36,0.73,1.1
2016,Q3,1.28,0.37,0.75,1.14
2016,Q4,1.31,0.38,0.78,1.16
2017,Q1,1.34,0.37,0.76,1.17
2017,Q2,1.34,0.38,0.78,1.19
2017,Q3,1.36,0.39,0.81,1.21
2017,Q4,1.38,0.39,0.83,1.22
2018,Q1,1.41,0.39,0.81,1.23
2018,Q2,1.41,0.39,0.83,1.24
2018,Q3,1.44,0.4,0.84,1.26
2018,Q4,1.46,0.41,0.87,1.27
2019,Q1,1.49,0.4,0.85,1.28
2019,Q2,1.48,0.41,0.87,1.3
2019,Q3,1.5,0.42,0.88,1.31
2019,Q4,1.51,0.43,0.93,1.33
2020,Q1,1.53,0.43,0.89,1.35
2020,Q2,1.54,0.42,0.82,1.34
2020,Q3,1.55,0.42,0.81,1.36
2020,Q4,1.55,0.42,0.82,1.37
2021,Q1,1.58,0.41,0.77,1.38
2021,Q2,1.57,0.42,0.79,1.42
2021,Q3,1.58,0.42,0.8,1.44
2021,Q4,1.58,0.44,0.86,1.46
2022,Q1,1.58,0.45,0.84,1.47
2022,Q2,1.59,0.47,0.89,1.5
2022,Q3,1.57,0.49,0.93,1.52
2022,Q4,1.6,0.51,0.99,1.55
2023,Q1,1.6,0.51,0.99,1.56
2023,Q2,1.57,0.53,1.03,1.58
2023,Q3,1.6,0.53,1.08,1.59
2023,Q4,1.6,0.55,1.13,1.61
2024,Q1,1.59,0.54,1.11,1.62
2024,Q2,1.58,0.54,1.14,1.63
2024,Q3,1.61,0.55,1.17,1.64
