Année,Quadrimestre,Student Loan,Credit Card,Other,Mortgage,Auto Loan,Home Equity Line of Credit
2004,Q1,6.34,9.27,7.68,1.01,2.32,0.21
2004,Q2,6.38,8.85,7.74,1.0,2.17,0.15
2004,Q3,6.5,8.65,7.48,1.08,2.27,0.18
2004,Q4,6.32,9.18,7.01,1.08,2.42,0.21
2005,Q1,6.03,9.59,7.25,1.01,2.38,0.25
2005,Q2,6.71,9.23,6.17,0.87,1.99,0.24
2005,Q3,6.99,9.07,5.96,0.91,2.03,0.2
2005,Q4,6.59,8.53,5.94,0.93,2.09,0.16
2006,Q1,6.39,8.82,5.85,0.92,2.15,0.17
2006,Q2,6.66,8.96,5.55,0.86,2.22,0.39
2006,Q3,7.16,9.19,5.11,1.07,2.58,0.5
2006,Q4,7.14,9.66,5.46,1.31,2.62,0.61
2007,Q1,6.85,9.74,5.74,1.56,2.59,0.65
2007,Q2,7.29,9.38,5.91,1.76,2.54,0.77
2007,Q3,7.59,9.34,6.14,2.23,2.76,1.2
2007,Q4,7.51,9.48,6.2,2.93,3.05,1.32
2008,Q1,7.38,9.49,6.83,3.94,3.22,1.86
2008,Q2,7.55,10.15,6.85,4.16,3.26,2.21
2008,Q3,7.55,9.48,7.62,4.73,3.64,2.66
2008,Q4,7.82,10.18,8.58,5.59,3.94,3.33
2009,Q1,7.88,11.44,9.27,6.97,4.35,3.77
2009,Q2,8.26,11.74,8.74,7.93,4.47,3.97
2009,Q3,8.45,11.9,9.06,8.17,4.68,4.18
2009,Q4,8.66,12.7,9.22,8.75,4.92,4.37
2010,Q1,8.66,13.73,9.94,8.89,5.01,4.05
2010,Q2,8.95,13.74,10.28,8.36,4.84,4.29
2010,Q3,9.17,13.16,11.3,7.82,4.83,4.23
2010,Q4,9.12,13.27,10.83,7.61,5.27,4.29
2011,Q1,8.96,13.12,10.64,7.46,5.09,4.66
2011,Q2,9.09,12.16,10.4,6.91,4.99,4.66
2011,Q3,8.84,11.5,10.69,6.83,5.03,4.7
2011,Q4,8.45,11.48,10.51,6.89,4.82,4.71
2012,Q1,8.69,11.27,10.24,6.67,4.55,4.69
2012,Q2,8.92,10.9,10.24,6.33,4.24,4.92
2012,Q3,11.0,10.45,9.83,5.9,4.25,4.93
2012,Q4,11.73,10.57,9.62,5.58,4.03,3.48
2013,Q1,11.19,10.21,9.83,5.35,3.92,3.22
2013,Q2,10.9,9.99,9.54,4.94,3.57,3.0
2013,Q3,11.83,9.36,8.97,4.31,3.37,3.51
2013,Q4,11.51,9.45,8.94,3.93,3.35,3.19
2014,Q1,11.01,8.51,8.66,3.72,3.32,3.37
2014,Q2,10.92,7.83,8.17,3.39,3.27,3.33
2014,Q3,11.09,7.46,8.0,3.18,3.14,3.34
2014,Q4,11.32,7.31,7.9,3.07,3.47,3.16
2015,Q1,11.06,8.38,7.95,2.95,3.34,3.04
2015,Q2,11.45,8.39,7.26,2.51,3.36,3.24
2015,Q3,11.56,8.21,7.0,2.32,3.36,2.44
2015,Q4,11.52,7.65,7.02,2.18,3.37,2.24
2016,Q1,11.04,7.6,7.89,2.08,3.52,2.19
2016,Q2,11.06,7.17,7.22,1.76,3.46,1.96
2016,Q3,10.94,7.08,7.13,1.63,3.58,2.03
2016,Q4,11.17,7.14,7.0,1.57,3.75,2.13
2017,Q1,10.98,7.45,7.22,1.67,3.82,2.06
2017,Q2,11.22,7.38,6.91,1.47,3.92,1.88
2017,Q3,11.17,7.47,6.66,1.38,3.97,1.53
2017,Q4,10.96,7.55,6.78,1.27,4.05,1.67
2018,Q1,10.66,8.01,7.12,1.22,4.26,1.51
2018,Q2,10.94,7.88,7.05,1.11,4.17,1.56
2018,Q3,11.53,7.94,7.15,1.06,4.27,1.2
2018,Q4,11.42,7.77,6.96,1.06,4.47,1.16
2019,Q1,10.85,8.32,7.19,1.0,4.69,1.25
2019,Q2,10.83,8.32,7.16,0.87,4.64,1.1
2019,Q3,10.9,8.27,7.07,0.97,4.71,1.13
2019,Q4,11.06,8.36,6.98,1.07,4.94,0.84
2020,Q1,10.75,9.09,7.23,1.06,5.05,1.19
2020,Q2,6.97,9.75,7.66,0.84,5.03,1.25
2020,Q3,6.5,9.74,7.47,0.7,4.82,1.23
2020,Q4,6.45,9.36,7.46,0.62,4.77,1.12
2021,Q1,6.16,9.98,7.67,0.59,4.79,1.18
2021,Q2,5.69,9.28,7.72,0.47,4.35,1.05
2021,Q3,5.33,8.77,7.08,0.46,4.05,1.0
2021,Q4,4.99,8.32,7.02,0.46,3.98,0.82
2022,Q1,4.7,8.42,7.09,0.47,4.0,0.82
2022,Q2,4.71,7.98,7.01,0.48,3.86,0.91
2022,Q3,3.99,7.59,6.99,0.37,3.89,1.07
2022,Q4,0.87,7.67,7.18,0.43,3.73,0.87
2023,Q1,0.67,8.24,7.67,0.44,3.89,0.78
2023,Q2,0.71,8.0,7.56,0.46,3.82,0.64
2023,Q3,0.67,9.43,7.85,0.5,3.91,0.74
2023,Q4,0.6,9.74,7.85,0.57,4.17,0.62
2024,Q1,0.62,10.69,8.51,0.6,4.41,0.5
2024,Q2,0.65,10.93,8.45,0.57,4.43,0.36
2024,Q3,0.49,11.13,8.96,0.71,4.59,0.43
