observation_date,Y694RX1Q020SBEA
1947-01-01,17.717
1947-04-01,17.870
1947-07-01,18.181
1947-10-01,18.608
1948-01-01,19.023
1948-04-01,19.374
1948-07-01,19.576
1948-10-01,19.483
1949-01-01,19.138
1949-04-01,18.986
1949-07-01,19.147
1949-10-01,19.518
1950-01-01,20.416
1950-04-01,21.133
1950-07-01,21.623
1950-10-01,21.801
1951-01-01,21.522
1951-04-01,21.713
1951-07-01,22.214
1951-10-01,23.207
1952-01-01,24.763
1952-04-01,25.988
1952-07-01,27.358
1952-10-01,28.857
1953-01-01,29.990
1953-04-01,31.090
1953-07-01,32.066
1953-10-01,32.947
1954-01-01,33.834
1954-04-01,34.475
1954-07-01,34.886
1954-10-01,35.396
1955-01-01,35.458
1955-04-01,36.878
1955-07-01,38.867
1955-10-01,41.832
1956-01-01,45.511
1956-04-01,48.660
1956-07-01,51.044
1956-10-01,52.906
1957-01-01,53.769
1957-04-01,54.737
1957-07-01,55.778
1957-10-01,56.637
1958-01-01,57.374
1958-04-01,57.993
1958-07-01,59.273
1958-10-01,60.487
1959-01-01,61.553
1959-04-01,62.782
1959-07-01,63.591
1959-10-01,64.781
1960-01-01,66.996
1960-04-01,69.114
1960-07-01,70.491
1960-10-01,71.637
1961-01-01,73.203
1961-04-01,75.344
1961-07-01,77.271
1961-10-01,78.968
1962-01-01,80.466
1962-04-01,82.635
1962-07-01,85.039
1962-10-01,87.982
1963-01-01,91.615
1963-04-01,94.922
1963-07-01,97.766
1963-10-01,99.880
1964-01-01,101.640
1964-04-01,103.521
1964-07-01,105.276
1964-10-01,107.070
1965-01-01,109.289
1965-04-01,111.746
1965-07-01,114.495
1965-10-01,117.846
1966-01-01,121.241
1966-04-01,124.409
1966-07-01,127.200
1966-10-01,129.429
1967-01-01,131.225
1967-04-01,132.705
1967-07-01,134.266
1967-10-01,135.810
1968-01-01,137.486
1968-04-01,138.921
1968-07-01,140.140
1968-10-01,141.320
1969-01-01,142.117
1969-04-01,142.549
1969-07-01,142.266
1969-10-01,141.097
1970-01-01,138.816
1970-04-01,136.559
1970-07-01,135.096
1970-10-01,133.439
1971-01-01,133.182
1971-04-01,133.234
1971-07-01,133.473
1971-10-01,134.493
1972-01-01,136.680
1972-04-01,138.060
1972-07-01,138.871
1972-10-01,140.347
1973-01-01,141.489
1973-04-01,141.756
1973-07-01,141.341
1973-10-01,140.505
1974-01-01,138.759
1974-04-01,137.904
1974-07-01,137.335
1974-10-01,136.229
1975-01-01,134.710
1975-04-01,134.566
1975-07-01,136.181
1975-10-01,138.454
1976-01-01,141.469
1976-04-01,142.574
1976-07-01,144.022
1976-10-01,145.109
1977-01-01,146.820
1977-04-01,149.053
1977-07-01,150.818
1977-10-01,152.567
1978-01-01,154.592
1978-04-01,157.878
1978-07-01,159.976
1978-10-01,162.198
1979-01-01,164.383
1979-04-01,166.143
1979-07-01,168.324
1979-10-01,170.820
1980-01-01,172.383
1980-04-01,173.262
1980-07-01,174.957
1980-10-01,178.181
1981-01-01,180.779
1981-04-01,182.050
1981-07-01,184.741
1981-10-01,185.466
1982-01-01,187.480
1982-04-01,189.360
1982-07-01,191.606
1982-10-01,192.671
1983-01-01,195.188
1983-04-01,199.255
1983-07-01,202.402
1983-10-01,206.991
1984-01-01,210.103
1984-04-01,215.667
1984-07-01,220.604
1984-10-01,227.191
1985-01-01,233.239
1985-04-01,238.246
1985-07-01,241.976
1985-10-01,245.649
1986-01-01,246.852
1986-04-01,247.642
1986-07-01,250.022
1986-10-01,253.384
1987-01-01,256.823
1987-04-01,259.208
1987-07-01,261.260
1987-10-01,262.348
1988-01-01,261.709
1988-04-01,263.358
1988-07-01,265.311
1988-10-01,267.272
1989-01-01,268.306
1989-04-01,268.798
1989-07-01,270.357
1989-10-01,272.867
1990-01-01,276.351
1990-04-01,278.968
1990-07-01,280.240
1990-10-01,280.763
1991-01-01,282.470
1991-04-01,285.656
1991-07-01,283.460
1991-10-01,287.445
1992-01-01,286.692
1992-04-01,285.485
1992-07-01,282.840
1992-10-01,281.543
1993-01-01,282.066
1993-04-01,281.648
1993-07-01,280.405
1993-10-01,277.202
1994-01-01,277.206
1994-04-01,278.747
1994-07-01,281.378
1994-10-01,282.683
1995-01-01,282.577
1995-04-01,286.145
1995-07-01,288.012
1995-10-01,293.390
1996-01-01,297.982
1996-04-01,301.437
1996-07-01,306.105
1996-10-01,311.299
1997-01-01,315.984
1997-04-01,316.078
1997-07-01,318.004
1997-10-01,319.584
1998-01-01,326.397
1998-04-01,330.332
1998-07-01,335.803
1998-10-01,336.400
1999-01-01,341.410
1999-04-01,347.433
1999-07-01,356.613
1999-10-01,359.739
2000-01-01,368.664
2000-04-01,370.066
2000-07-01,376.209
2000-10-01,379.621
2001-01-01,382.175
2001-04-01,386.677
2001-07-01,387.448
2001-10-01,387.431
2002-01-01,385.975
2002-04-01,389.548
2002-07-01,390.331
2002-10-01,396.804
2003-01-01,400.198
2003-04-01,401.808
2003-07-01,401.312
2003-10-01,401.899
2004-01-01,402.803
2004-04-01,407.184
2004-07-01,412.881
2004-10-01,415.168
2005-01-01,426.850
2005-04-01,428.318
2005-07-01,432.512
2005-10-01,428.227
2006-01-01,433.665
2006-04-01,443.093
2006-07-01,458.946
2006-10-01,470.762
2007-01-01,468.029
2007-04-01,471.308
2007-07-01,469.637
2007-10-01,478.690
2008-01-01,481.487
2008-04-01,486.661
2008-07-01,478.898
2008-10-01,480.344
2009-01-01,465.516
2009-04-01,475.998
2009-07-01,479.234
2009-10-01,485.757
2010-01-01,476.326
2010-04-01,473.414
2010-07-01,479.939
2010-10-01,484.853
2011-01-01,485.532
2011-04-01,487.917
2011-07-01,490.462
2011-10-01,495.512
2012-01-01,489.878
2012-04-01,488.241
2012-07-01,488.258
2012-10-01,493.757
2013-01-01,505.117
2013-04-01,505.784
2013-07-01,510.487
2013-10-01,508.480
2014-01-01,507.040
2014-04-01,516.206
2014-07-01,523.291
2014-10-01,537.926
2015-01-01,530.627
2015-04-01,531.691
2015-07-01,540.674
2015-10-01,552.971
2016-01-01,564.549
2016-04-01,574.802
2016-07-01,579.449
2016-10-01,578.050
2017-01-01,587.106
2017-04-01,584.337
2017-07-01,591.321
2017-10-01,597.161
2018-01-01,604.214
2018-04-01,616.647
2018-07-01,621.063
2018-10-01,636.448
2019-01-01,647.135
2019-04-01,662.574
2019-07-01,674.896
2019-10-01,688.385
2020-01-01,696.727
2020-04-01,678.313
2020-07-01,697.531
2020-10-01,707.711
2021-01-01,722.527
2021-04-01,741.229
2021-07-01,751.814
2021-10-01,769.772
2022-01-01,781.448
2022-04-01,798.381
2022-07-01,810.075
2022-10-01,822.281
2023-01-01,837.191
2023-04-01,845.680
2023-07-01,848.187
2023-10-01,854.999
2024-01-01,863.928
2024-04-01,864.014
2024-07-01,871.702
2024-10-01,875.138
