observation_date,MRTSSM443USS
1992-01-01,3874
1992-02-01,3904
1992-03-01,3916
1992-04-01,3958
1992-05-01,3981
1992-06-01,3992
1992-07-01,4081
1992-08-01,4048
1992-09-01,4098
1992-10-01,4186
1992-11-01,4118
1992-12-01,4248
1993-01-01,4395
1993-02-01,4343
1993-03-01,4383
1993-04-01,4460
1993-05-01,4485
1993-06-01,4567
1993-07-01,4642
1993-08-01,4667
1993-09-01,4729
1993-10-01,4710
1993-11-01,4741
1993-12-01,4794
1994-01-01,4837
1994-02-01,4949
1994-03-01,5052
1994-04-01,5090
1994-05-01,5185
1994-06-01,5313
1994-07-01,5330
1994-08-01,5411
1994-09-01,5508
1994-10-01,5635
1994-11-01,5753
1994-12-01,5834
1995-01-01,5892
1995-02-01,5827
1995-03-01,5849
1995-04-01,5733
1995-05-01,5956
1995-06-01,6000
1995-07-01,5965
1995-08-01,6159
1995-09-01,6141
1995-10-01,6212
1995-11-01,6263
1995-12-01,6281
1996-01-01,6191
1996-02-01,6248
1996-03-01,6365
1996-04-01,6373
1996-05-01,6428
1996-06-01,6334
1996-07-01,6234
1996-08-01,6340
1996-09-01,6438
1996-10-01,6428
1996-11-01,6356
1996-12-01,6305
1997-01-01,6128
1997-02-01,6370
1997-03-01,6360
1997-04-01,6456
1997-05-01,6400
1997-06-01,6440
1997-07-01,6525
1997-08-01,6541
1997-09-01,6559
1997-10-01,6572
1997-11-01,6628
1997-12-01,6659
1998-01-01,6776
1998-02-01,6797
1998-03-01,6788
1998-04-01,6766
1998-05-01,6829
1998-06-01,6921
1998-07-01,6960
1998-08-01,7047
1998-09-01,6954
1998-10-01,6940
1998-11-01,7000
1998-12-01,6964
1999-01-01,7000
1999-02-01,7024
1999-03-01,7116
1999-04-01,7195
1999-05-01,7230
1999-06-01,7286
1999-07-01,7378
1999-08-01,7281
1999-09-01,7410
1999-10-01,7400
1999-11-01,7350
1999-12-01,7498
2000-01-01,7605
2000-02-01,7674
2000-03-01,7652
2000-04-01,7813
2000-05-01,7611
2000-06-01,7435
2000-07-01,7397
2000-08-01,7440
2000-09-01,7588
2000-10-01,7416
2000-11-01,7392
2000-12-01,7346
2001-01-01,7376
2001-02-01,7334
2001-03-01,7267
2001-04-01,7212
2001-05-01,7135
2001-06-01,7246
2001-07-01,7298
2001-08-01,7276
2001-09-01,7141
2001-10-01,7237
2001-11-01,7662
2001-12-01,7825
2002-01-01,7604
2002-02-01,7643
2002-03-01,7690
2002-04-01,7616
2002-05-01,7678
2002-06-01,7656
2002-07-01,7543
2002-08-01,7520
2002-09-01,7511
2002-10-01,7522
2002-11-01,7545
2002-12-01,7660
2003-01-01,7439
2003-02-01,7354
2003-03-01,7364
2003-04-01,7440
2003-05-01,7563
2003-06-01,7650
2003-07-01,7731
2003-08-01,7914
2003-09-01,7909
2003-10-01,7984
2003-11-01,8030
2003-12-01,8127
2004-01-01,8104
2004-02-01,8080
2004-03-01,8117
2004-04-01,8218
2004-05-01,8241
2004-06-01,8297
2004-07-01,8337
2004-08-01,8335
2004-09-01,8422
2004-10-01,8494
2004-11-01,8479
2004-12-01,8513
2005-01-01,8555
2005-02-01,8765
2005-03-01,8784
2005-04-01,8820
2005-05-01,8775
2005-06-01,8828
2005-07-01,8877
